Bezeichner,Bezeichnername,Start_Seite,End_Seite,Start_Y,End_Y,pathToPDF
408.0331,408.0332,180,182,0,158,src/main/csv/github/bachelorpraktikum/visualisierbar/guidelines/rw_408.01-06.pdf
408.0331.1,Hauptsignal,180,180,144,192,src/main/csv/github/bachelorpraktikum/visualisierbar/guidelines/rw_408.01-06.pdf
408.0331.2,408.0331.3,180,180,209,656,src/main/csv/github/bachelorpraktikum/visualisierbar/guidelines/rw_408.01-06.pdf
408.0331.2.a,409.0331.2.a,180,180,249,389,src/main/csv/github/bachelorpraktikum/visualisierbar/guidelines/rw_408.01-06.pdf
408.0331.2.b,409.0331.2.b,180,180,406,433,src/main/csv/github/bachelorpraktikum/visualisierbar/guidelines/rw_408.01-06.pdf
408.0331.2.c,409.0331.2.c,180,180,437,464,src/main/csv/github/bachelorpraktikum/visualisierbar/guidelines/rw_408.01-06.pdf
408.0331.2.d,409.0331.2.d,180,180,469,483,src/main/csv/github/bachelorpraktikum/visualisierbar/guidelines/rw_408.01-06.pdf
408.0331.2.e,409.0331.2.e,180,180,487,526,src/main/csv/github/bachelorpraktikum/visualisierbar/guidelines/rw_408.01-06.pdf
408.0331.2.f,409.0331.2.f,180,180,531,555,src/main/csv/github/bachelorpraktikum/visualisierbar/guidelines/rw_408.01-06.pdf
408.0331.2.g,409.0331.2.g,180,180,562,574,src/main/csv/github/bachelorpraktikum/visualisierbar/guidelines/rw_408.01-06.pdf
408.0331.2.h,409.0331.2.h,180,180,594,656,src/main/csv/github/bachelorpraktikum/visualisierbar/guidelines/rw_408.01-06.pdf
408.0331.3,Hauptsignal,180,182,675,158,src/main/csv/github/bachelorpraktikum/visualisierbar/guidelines/rw_408.01-06.pdf
408.0331.3.1,408.0331.3.2,180,180,676,807,src/main/csv/github/bachelorpraktikum/visualisierbar/guidelines/rw_408.01-06.pdf
408.0331.3.2,408.0331.3.3,181,181,88,240,src/main/csv/github/bachelorpraktikum/visualisierbar/guidelines/rw_408.01-06.pdf
